Project Name,Benchmark Name,Count,Direct Count,Methods,Direct Methods
client_java,io.prometheus.benchmark.CounterBenchmark.codahaleCounterIncBenchmark,0,0,,
client_java,io.prometheus.benchmark.CounterBenchmark.codahaleMeterMarkBenchmark,0,0,,
client_java,io.prometheus.benchmark.CounterBenchmark.prometheusCounterChildIncBenchmark,0,0,,
client_java,io.prometheus.benchmark.CounterBenchmark.prometheusCounterIncBenchmark,0,0,,
client_java,io.prometheus.benchmark.CounterBenchmark.prometheusSimpleCounterChildIncBenchmark,0,0,,
client_java,io.prometheus.benchmark.CounterBenchmark.prometheusSimpleCounterIncBenchmark,0,0,,
client_java,io.prometheus.benchmark.CounterBenchmark.prometheusSimpleCounterNoLabelsIncBenchmark,0,0,,
client_java,io.prometheus.benchmark.GaugeBenchmark.codahaleCounterDecBenchmark,0,0,,
client_java,io.prometheus.benchmark.GaugeBenchmark.codahaleCounterIncBenchmark,0,0,,
client_java,io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeChildDecBenchmark,0,0,,
client_java,io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeChildIncBenchmark,0,0,,
client_java,io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeChildSetBenchmark,0,0,,
client_java,io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeDecBenchmark,0,0,,
client_java,io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeIncBenchmark,0,0,,
client_java,io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeSetBenchmark,0,0,,
client_java,io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeChildDecBenchmark,0,0,,
client_java,io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeChildIncBenchmark,0,0,,
client_java,io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeChildSetBenchmark,8,6,"io.prometheus.client.Gauge.newChild,io.prometheus.client.Striped64.casBusy,io.prometheus.client.Collector.checkMetricName,io.prometheus.client.Collector.checkMetricLabelName,io.prometheus.client.DoubleAdder.set,io.prometheus.client.SimpleCollector.initializeNoLabelsChild,io.prometheus.client.Gauge.build,io.prometheus.client.SimpleCollector.labels","io.prometheus.client.Collector.checkMetricName,io.prometheus.client.Collector.checkMetricLabelName,io.prometheus.client.DoubleAdder.set,io.prometheus.client.SimpleCollector.initializeNoLabelsChild,io.prometheus.client.Gauge.build,io.prometheus.client.SimpleCollector.labels"
client_java,io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeDecBenchmark,8,6,"io.prometheus.client.Gauge.newChild,io.prometheus.client.Collector.checkMetricName,io.prometheus.client.Collector.checkMetricLabelName,io.prometheus.client.Striped64.casBase,io.prometheus.client.DoubleAdder.add,io.prometheus.client.SimpleCollector.initializeNoLabelsChild,io.prometheus.client.Gauge.build,io.prometheus.client.SimpleCollector.labels","io.prometheus.client.Collector.checkMetricName,io.prometheus.client.Collector.checkMetricLabelName,io.prometheus.client.DoubleAdder.add,io.prometheus.client.SimpleCollector.initializeNoLabelsChild,io.prometheus.client.Gauge.build,io.prometheus.client.SimpleCollector.labels"
client_java,io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeIncBenchmark,8,6,"io.prometheus.client.Gauge.newChild,io.prometheus.client.Collector.checkMetricName,io.prometheus.client.Collector.checkMetricLabelName,io.prometheus.client.Striped64.casBase,io.prometheus.client.DoubleAdder.add,io.prometheus.client.SimpleCollector.initializeNoLabelsChild,io.prometheus.client.Gauge.build,io.prometheus.client.SimpleCollector.labels","io.prometheus.client.Collector.checkMetricName,io.prometheus.client.Collector.checkMetricLabelName,io.prometheus.client.DoubleAdder.add,io.prometheus.client.SimpleCollector.initializeNoLabelsChild,io.prometheus.client.Gauge.build,io.prometheus.client.SimpleCollector.labels"
client_java,io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeNoLabelsDecBenchmark,9,6,"io.prometheus.client.Gauge.newChild,io.prometheus.client.Gauge.dec,io.prometheus.client.Collector.checkMetricName,io.prometheus.client.Collector.checkMetricLabelName,io.prometheus.client.Striped64.casBase,io.prometheus.client.DoubleAdder.add,io.prometheus.client.SimpleCollector.initializeNoLabelsChild,io.prometheus.client.Gauge.build,io.prometheus.client.SimpleCollector.labels","io.prometheus.client.Gauge.dec,io.prometheus.client.Collector.checkMetricName,io.prometheus.client.Collector.checkMetricLabelName,io.prometheus.client.SimpleCollector.initializeNoLabelsChild,io.prometheus.client.Gauge.build,io.prometheus.client.SimpleCollector.labels"
client_java,io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeNoLabelsIncBenchmark,9,6,"io.prometheus.client.Gauge.newChild,io.prometheus.client.Gauge.inc,io.prometheus.client.Collector.checkMetricName,io.prometheus.client.Collector.checkMetricLabelName,io.prometheus.client.Striped64.casBase,io.prometheus.client.DoubleAdder.add,io.prometheus.client.SimpleCollector.initializeNoLabelsChild,io.prometheus.client.Gauge.build,io.prometheus.client.SimpleCollector.labels","io.prometheus.client.Gauge.inc,io.prometheus.client.Collector.checkMetricName,io.prometheus.client.Collector.checkMetricLabelName,io.prometheus.client.SimpleCollector.initializeNoLabelsChild,io.prometheus.client.Gauge.build,io.prometheus.client.SimpleCollector.labels"
client_java,io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeNoLabelsSetBenchmark,5,4,"io.prometheus.client.Collector.checkMetricName,io.prometheus.client.Collector.checkMetricLabelName,io.prometheus.client.SimpleCollector.initializeNoLabelsChild,io.prometheus.client.Gauge.build,io.prometheus.client.SimpleCollector.labels","io.prometheus.client.Collector.checkMetricName,io.prometheus.client.SimpleCollector.initializeNoLabelsChild,io.prometheus.client.Gauge.build,io.prometheus.client.Collector.checkMetricLabelName"
client_java,io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeSetBenchmark,0,0,,
client_java,io.prometheus.benchmark.SummaryBenchmark.codahaleHistogramBenchmark,0,0,,
client_java,io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleHistogramBenchmark,0,0,,
client_java,io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleHistogramChildBenchmark,0,0,,
client_java,io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleHistogramNoLabelsBenchmark,0,0,,
client_java,io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleSummaryBenchmark,0,0,,
client_java,io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleSummaryChildBenchmark,0,0,,
client_java,io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleSummaryNoLabelsBenchmark,0,0,,
client_java,io.prometheus.benchmark.SummaryBenchmark.prometheusSummaryBenchmark,0,0,,
client_java,io.prometheus.benchmark.SummaryBenchmark.prometheusSummaryChildBenchmark,0,0,,
